policy,OrderedDict([('log_std', tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0.])), ('mlp_extractor.shared_net.0.weight', tensor([[ 0.1776, -0.0907, -0.2622],
        [-0.1868, -0.1723, -0.0277],
        [ 0.3004,  0.0922,  0.3510],
        [ 0.0021,  0.4372,  0.1216],
        [-0.4800,  0.1436,  0.1343],
        [-0.4527, -0.0038,  0.4503],
        [ 0.0676,  0.2475, -0.2718],
        [ 0.0723, -0.2448, -0.0835],
        [ 0.0740,  0.0083,  0.1616],
        [-0.6202, -0.0902, -0.0586],
        [ 0.0528,  0.1694,  0.0607],
        [ 0.2063, -0.1256,  0.1466],
        [-0.2981,  0.3121, -0.0225],
        [ 0.0471, -0.3973,  0.6477],
        [ 0.1249,  0.2703, -0.2375],
        [ 0.4207, -0.0276, -0.2447],
        [-0.1650,  0.1376,  0.3824],
        [ 0.0328,  0.2368,  0.1696],
        [ 0.0225,  0.4135, -0.1660],
        [ 0.2364,  0.0926,  0.0968],
        [-0.0365, -0.0171,  0.0018],
        [-0.2150, -0.1325,  0.0194],
        [ 0.0992, -0.1969, -0.1951],
        [ 0.2495,  0.8140,  0.0811],
        [ 0.4092, -0.1644,  0.3403],
        [-0.3584,  0.0070, -0.0959],
        [-0.1151,  0.1511, -0.3744],
        [-0.1485, -0.0409, -0.1388],
        [-0.0467, -0.1631, -0.4080],
        [ 0.2348,  0.0758,  0.2693],
        [-0.1225,  0.3743,  0.3446],
        [ 0.2669, -0.2022,  0.0243]])), ('mlp_extractor.shared_net.0.bias', tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0.])), ('mlp_extractor.shared_net.2.weight', tensor([[ 0.0301,  0.1435, -0.6441,  ..., -0.2506, -0.0147,  0.2011],
        [ 0.0850, -0.0757,  0.5062,  ...,  0.0289, -0.3097,  0.4813],
        [ 0.0239, -0.4058, -0.2820,  ...,  0.2361,  0.1311,  0.1065],
        ...,
        [-0.2342, -0.0933,  0.1475,  ..., -0.0164,  0.2710, -0.2367],
        [-0.2334,  0.2944, -0.0444,  ..., -0.4469, -0.0159,  0.4678],
        [-0.0038, -0.2997, -0.0547,  ..., -0.4841,  0.1745, -0.1015]])), ('mlp_extractor.shared_net.2.bias', tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0.])), ('action_net.weight', tensor([[ 1.8724e-03,  2.1645e-03,  7.2287e-04, -6.5438e-04, -4.2913e-03,
          4.0219e-04,  1.0908e-03, -9.1941e-05, -2.0310e-03, -1.6053e-03,
          1.1665e-03, -7.9223e-04,  2.7509e-03, -1.0614e-03, -1.3862e-03,
         -1.6972e-03, -1.9328e-03, -9.0162e-04, -1.4565e-04, -1.5724e-03,
         -7.3048e-04,  1.4728e-03,  2.7927e-03,  3.2156e-03, -2.4448e-04,
          1.9280e-03, -1.7422e-03, -1.7381e-03, -1.0946e-03, -1.1365e-03,
          1.5192e-03,  2.5262e-03],
        [-1.4333e-03, -3.3646e-03, -2.7571e-04, -3.1555e-03,  6.3349e-04,
         -1.8128e-03, -1.9022e-03,  6.1483e-04,  8.7446e-04, -1.6849e-04,
          1.2229e-04,  4.1842e-05, -2.3606e-03,  1.2653e-03, -2.5859e-03,
         -3.7789e-03,  7.2494e-04,  1.6450e-03, -8.0506e-04, -1.9935e-03,
         -8.4768e-04,  1.4939e-03,  2.2598e-03, -1.2168e-04,  7.6431e-04,
         -1.7404e-03,  1.1448e-04, -4.2810e-03, -2.2422e-05,  3.9175e-04,
          1.2717e-03, -5.5489e-04],
        [ 2.4844e-03, -1.4741e-03, -4.9779e-03, -9.5935e-05,  6.7029e-04,
          2.2525e-03, -7.4781e-04,  1.8800e-03, -3.1717e-03, -5.6656e-04,
         -1.3002e-04,  1.4127e-03, -2.4513e-03, -5.7949e-04, -6.2134e-04,
          5.2554e-04,  1.5588e-03,  1.9962e-04,  1.5783e-03,  6.8609e-04,
          2.0405e-03, -1.7991e-03,  1.4096e-03,  6.9664e-04,  1.0676e-03,
         -6.3856e-04,  9.7606e-04,  2.7968e-04, -1.3174e-03,  5.0773e-04,
         -2.0179e-04,  4.2346e-03],
        [ 1.4366e-03,  1.2176e-03,  1.4758e-03, -2.5308e-03,  8.9183e-04,
         -1.5480e-03,  2.2621e-03,  1.7843e-03,  2.3914e-03, -5.4913e-04,
         -8.4967e-04, -1.6626e-03, -4.0679e-05,  1.8039e-03, -1.0703e-03,
         -5.5982e-04,  1.8980e-03,  3.2499e-03,  1.0317e-03,  3.5505e-04,
          3.5820e-04, -1.6967e-03,  2.1867e-04,  8.6488e-04, -3.7018e-03,
         -8.4171e-04, -9.7743e-04,  1.2827e-03, -1.1198e-03, -2.8727e-03,
         -3.3372e-03,  2.3116e-03],
        [ 2.5820e-04,  2.0864e-03, -9.4955e-04, -2.6132e-03, -1.6741e-03,
         -6.8134e-04,  6.3304e-04, -1.1573e-03, -1.6945e-03, -3.3712e-03,
         -1.6929e-03, -6.4769e-04, -3.8057e-04, -1.0684e-03, -3.4236e-04,
         -9.7486e-04, -1.8113e-03,  8.4889e-04,  5.7610e-04,  1.3301e-03,
         -1.1226e-03, -1.2480e-03, -4.3603e-03, -3.2210e-03,  1.6822e-04,
         -3.1466e-03, -1.6881e-03, -7.9634e-04, -2.2617e-03,  2.2552e-03,
          1.0226e-03, -1.1426e-05],
        [ 1.5328e-04,  1.7422e-03,  1.3083e-03, -2.0816e-03,  4.5065e-04,
         -6.9287e-04,  2.7100e-03,  3.0232e-03, -4.6409e-04,  3.0746e-04,
          6.4023e-04,  1.7331e-03,  1.5191e-03, -7.0068e-05,  2.0858e-03,
         -1.1991e-03,  2.0929e-03, -2.7348e-03, -2.4309e-04,  2.6853e-04,
          2.0985e-03, -2.0584e-03,  2.9693e-03, -1.9459e-03, -1.3074e-03,
          6.0497e-05,  2.3923e-03, -9.4000e-04, -2.4282e-03,  2.4301e-03,
          1.7218e-03, -2.3632e-03],
        [-1.5412e-03, -2.4148e-03,  2.1772e-04, -8.3486e-04, -9.1724e-04,
          1.2474e-03, -1.0052e-03, -9.2287e-04, -1.8845e-03, -1.6237e-03,
         -4.7832e-03, -5.2766e-04,  1.1852e-03,  1.7019e-03,  2.7381e-03,
          7.4677e-04, -1.1330e-03,  2.4561e-03, -2.8160e-03, -2.8014e-03,
          6.5243e-04, -2.9225e-04,  9.0034e-04, -1.2086e-03, -2.1233e-03,
          2.4715e-03,  2.0422e-03,  1.3572e-03, -1.1559e-03,  8.6820e-05,
          6.3216e-04,  9.1596e-04],
        [-3.5888e-05,  2.3617e-03,  7.4197e-04, -4.3135e-03, -4.3965e-04,
          1.2978e-03, -1.3960e-03,  5.5101e-04, -1.0456e-03,  2.3510e-03,
          7.6981e-04, -1.3156e-03, -6.6139e-04, -4.7339e-04, -2.1280e-04,
          8.2504e-04,  3.3966e-03, -5.5889e-04, -5.0024e-03, -9.2140e-04,
         -7.7014e-04,  7.2388e-04, -5.6982e-04,  1.0648e-05,  2.2313e-03,
         -7.4018e-06, -1.5767e-03,  2.6856e-03,  1.3442e-03,  1.6985e-03,
         -5.9695e-04,  1.3832e-03],
        [ 2.4979e-03,  8.3436e-04, -1.4337e-03,  7.9214e-04, -6.8421e-04,
          1.5523e-03,  1.7920e-03, -1.9047e-03, -3.6699e-04,  2.3425e-03,
         -9.6675e-04, -5.1774e-04, -3.3088e-03, -7.2575e-04,  1.9733e-03,
         -8.9193e-04, -4.7696e-04, -1.7240e-03, -2.5401e-03, -1.4996e-03,
          1.8951e-03,  9.3532e-04, -3.0158e-04, -2.3023e-04, -4.2573e-03,
         -2.9847e-03, -8.2130e-04, -2.0384e-03,  1.9523e-03, -2.0599e-03,
          6.1802e-04, -9.3072e-04],
        [ 2.7794e-03, -1.7884e-03,  9.8509e-04,  2.2161e-03,  2.1493e-04,
          2.9033e-03,  3.4318e-04, -5.2282e-05,  1.2953e-03,  1.5516e-03,
         -2.0870e-04,  9.5693e-04,  2.9217e-03, -1.6993e-03, -1.1648e-03,
         -3.8140e-04,  9.9896e-04,  9.0138e-04, -2.7885e-03,  2.5755e-05,
         -3.7818e-03, -2.3011e-03, -9.0482e-04, -1.2179e-03, -2.9483e-04,
         -2.7169e-04,  1.0202e-03, -3.5618e-03, -1.3171e-03,  1.4867e-03,
         -2.5337e-03,  9.4362e-04],
        [-4.8234e-04, -4.0074e-04, -1.4614e-04,  9.4362e-04,  2.8821e-03,
         -2.4111e-04,  3.7823e-03, -1.8539e-03,  2.1369e-03, -6.3326e-04,
          2.7227e-03,  1.9175e-03, -1.1888e-05,  1.5560e-03, -1.0148e-03,
          7.4742e-04, -1.5895e-03, -3.4014e-04, -2.2603e-03, -2.8076e-03,
